NOMBRE,numhogares,area,densidadPoblacional,estrato_asignado,personasReal,num_ferreterias,num_tiendasPinturas,num_construcciones,num_industriales,num_clientes,primary,secondary,tertiary,trunk,valResidencial,valComercial
20 DE JULIO,25442,2.657546,28757.733638477002,2,56114,15,3,8.0,0,9,2.0,14.0,16.0,0.0,1698097.053392857,713678.3303571428
AEROPUERTO EL DORADO,67,7.524819,22.724799094835372,2,135,0,0,1.0,0,0,1.0,4.0,1.0,0.0,746241.2433333333,5127725.943333333
ALAMOS,4588,2.027676,6244.094224126537,3,9684,2,0,3.0,11,1,2.0,3.0,11.0,0.0,1803348.9615094338,1393248.8256603775
ALFONSO LOPEZ,15081,2.191054,21605.1270301873,1,31233,11,0,1.0,1,10,0.0,0.0,23.0,2.0,921876.6915254237,47912.74322033898
AMERICAS,26182,3.857024,20009.986974413434,3,59119,12,1,7.0,0,4,3.0,3.0,27.0,3.0,2363223.6543023256,995690.5722093025
APOGEO,13074,2.131867,16479.921120782863,2,26177,5,1,2.0,4,2,3.0,0.0,6.0,1.0,1952063.0408333333,421937.04958333337
ARBORIZADORA,24873,3.10035,23876.659086877287,2,54042,2,1,1.0,2,1,4.0,1.0,21.0,2.0,1923406.7582075472,724011.9635849057
BAVARIA,13213,2.80683,13026.795352764506,3,28327,1,1,5.0,3,1,2.0,2.0,16.0,3.0,2642194.01453125,904934.7106250001
BOLIVIA,28035,4.805377,16485.49114876939,3,63208,9,0,1.0,0,8,0.0,1.0,25.0,2.0,2255808.797375,697436.0337500001
BOSA CENTRAL,82243,7.235049,31046.783511763362,2,156744,21,0,9.0,2,16,6.0,16.0,49.0,1.0,1497231.4978996865,316822.0062382445
BOSA OCCIDENTAL,64567,4.357277,43140.47511783162,2,128391,16,1,4.0,2,14,6.0,6.0,35.0,0.0,1429939.306572165,147469.63507731957
BOYACA REAL,43254,4.595122,26422.802267273863,3,93274,69,14,1.0,1,26,1.0,11.0,24.0,2.0,2641177.1109392266,593331.7880110497
BRITALIA,27509,3.328558,22465.584195919073,3,58266,32,0,6.0,0,15,3.0,1.0,10.0,2.0,2277327.793193277,1520268.4646218487
CALANDAIMA,38127,3.229199,36058.477659630145,2,82308,1,0,6.0,0,1,1.0,2.0,16.0,1.0,1927402.9783720928,2228171.278372093
CAPELLANIA,6038,2.755332,6016.334873619586,4,12926,4,0,2.0,6,4,2.0,2.0,10.0,0.0,1819442.8019565218,1928971.752173913
