NOMBRE,numhogares,densidadPoblacional,estrato_asignado,num_ferreterias,num_tiendasPinturas,num_construcciones,num_industriales,valResidencial,valComercial,indiceaccesibilidad,cluster_k4,cluster_k5,silhouette,cluster_gmm,cluster_hca,cluster_hca_mapped,consistente
20 DE JULIO,25442,28757.733638477,2,15,3,8.0,0,1698097.053392857,713678.3303571428,8.4,2,1,0.35368757128871814,3,2,2,True
AEROPUERTO EL DORADO,67,22.72479909483537,2,0,0,1.0,0,746241.2433333333,5127725.943333333,1.9,3,4,0.20049271814841405,1,1,1,False
ALAMOS,4588,6244.094224126537,3,2,0,3.0,11,1803348.9615094336,1393248.8256603775,4.1,3,4,0.29456811165427105,2,3,3,True
ALFONSO LOPEZ,15081,21605.1270301873,1,11,0,1.0,1,921876.6915254236,47912.74322033898,4.6000000000000005,2,2,0.04795484543626399,3,2,2,True
AMERICAS,26182,20009.986974413438,3,12,1,7.0,0,2363223.6543023256,995690.5722093025,7.800000000000001,2,2,0.26008790508593044,3,2,2,True
APOGEO,13074,16479.921120782863,2,5,1,2.0,4,1952063.0408333333,421937.04958333337,2.7,3,2,0.16796780594913566,2,2,2,False
ARBORIZADORA,24873,23876.659086877287,2,2,1,1.0,2,1923406.7582075472,724011.9635849057,6.5,2,2,0.22688403193935686,3,2,2,True
BAVARIA,13213,13026.795352764506,3,1,1,5.0,3,2642194.01453125,904934.710625,4.800000000000001,3,2,0.10886727193926471,2,2,2,False
BOLIVIA,28035,16485.49114876939,3,9,0,1.0,0,2255808.797375,697436.0337500001,5.3,2,2,0.1250669324223117,2,2,2,True
BOSA CENTRAL,82243,31046.78351176336,2,21,0,9.0,2,1497231.4978996865,316822.0062382445,17.6,2,1,0.2897066091889064,3,0,0,False
BOSA OCCIDENTAL,64567,43140.47511783162,2,16,1,4.0,2,1429939.306572165,147469.63507731957,11.8,2,1,0.3884341925346193,3,0,0,False
BOYACA REAL,43254,26422.802267273863,3,69,14,1.0,1,2641177.1109392266,593331.7880110497,8.600000000000001,0,0,0.22647363048077454,0,0,0,True
